Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,30161N101,EXC ,"20,036,166","750,354,416.70",0.231,Exelon Corp,Common Stock,Utilities,12/26/2024
QQQ,500754106,KHC ,"24,110,563","736,577,699.65",0.227,Kraft Heinz Co/The,Common Stock,Consumer Staples,12/26/2024
QQQ,36266G107,GEHC ,"9,109,879","726,148,455.09",0.224,GE HealthCare Technologies Inc,Common Stock,Health Care,12/26/2024
QQQ,G25839104,CCEP ,"9,179,733","701,790,587.85",0.216,Coca-Cola Europacific Partners PLC,Common Stock,Consumer Staples,12/26/2024
QQQ,45168D104,IDXX ,"1,632,773","681,045,946.03",0.210,IDEXX Laboratories Inc,Common Stock,Health Care,12/26/2024
QQQ,874054109,TTWO ,"3,502,029","655,439,747.64",0.202,Take-Two Interactive Software Inc,Common Stock,Communication Services,12/26/2024
QQQ,252131107,DXCM ,"7,788,357","627,507,923.49",0.193,Dexcom Inc,Common Stock,Health Care,12/26/2024
QQQ,595017104,MCHP ,"10,707,830","626,086,820.10",0.193,Microchip Technology Inc,Common Stock,Information Technology,12/26/2024
QQQ,22160N109,CSGP ,"8,174,537","597,558,654.70",0.184,CoStar Group Inc,Common Stock,Real Estate,12/26/2024
QQQ,03662Q105,ANSS ,"1,743,749","593,153,659.84",0.183,ANSYS Inc,Common Stock,Information Technology,12/26/2024
QQQ,98980G102,ZS ,"3,059,335","574,023,026.05",0.177,Zscaler Inc,Common Stock,Information Technology,12/26/2024
QQQ,682189105,ON ,"8,490,307","569,020,375.14",0.175,ON Semiconductor Corp,Common Stock,Information Technology,12/26/2024
QQQ,934423104,WBD ,"48,915,414","519,481,696.68",0.160,Warner Bros Discovery Inc,Common Stock,Communication Services,12/26/2024
QQQ,G39387108,GFS ,"11,019,833","490,823,361.82",0.151,GLOBALFOUNDRIES Inc,Common Stock,Information Technology,12/26/2024
QQQ,12514G108,CDW ,"2,660,162","471,167,893.44",0.145,CDW Corp/DE,Common Stock,Information Technology,12/26/2024
QQQ,09062X103,BIIB ,"2,908,598","435,998,840.20",0.134,Biogen Inc,Common Stock,Health Care,12/26/2024
QQQ,60937P106,MDB ,"1,474,124","358,949,194.00",0.111,MongoDB Inc,Common Stock,Information Technology,12/26/2024
QQQ,042068205,ARM ,"2,555,590","331,434,467.10",0.102,ARM Holdings PLC ADR,American Depository Receipt,Information Technology,12/26/2024
