Date,Close,Volume,StockSplits,Ticker
2024-06-04,126.30905151367188,1032600,0.0,STLD
2024-06-05,126.22964477539062,1254000,0.0,STLD
2024-06-06,127.4109344482422,1066400,0.0,STLD
2024-06-07,124.60163879394533,1308500,0.0,STLD
2024-06-10,122.76517486572266,1518100,0.0,STLD
2024-06-11,120.64083099365234,1436200,0.0,STLD
2024-06-12,119.89631652832033,1110100,0.0,STLD
2024-06-13,120.5316390991211,985200,0.0,STLD
2024-06-14,119.8069839477539,1211200,0.0,STLD
2024-06-17,125.62410736083984,2237200,0.0,STLD
2024-06-18,124.08544158935548,1637300,0.0,STLD
2024-06-20,124.7604751586914,1244700,0.0,STLD
2024-06-21,127.24217224121094,4316900,0.0,STLD
2024-06-24,125.41563415527344,1746600,0.0,STLD
2024-06-25,122.68575286865234,1503000,0.0,STLD
2024-06-26,123.86705780029295,1501300,0.0,STLD
2024-06-27,124.13507843017578,1042200,0.0,STLD
2024-06-28,129.0271453857422,2428800,0.0,STLD
2024-07-01,128.6784210205078,1278400,0.0,STLD
2024-07-02,127.83152770996094,1212600,0.0,STLD
2024-07-03,126.6657943725586,737300,0.0,STLD
2024-07-05,123.96569061279295,1426900,0.0,STLD
2024-07-08,123.81623840332033,996800,0.0,STLD
2024-07-09,123.79631805419922,938000,0.0,STLD
2024-07-10,126.81525421142578,1678700,0.0,STLD
2024-07-11,129.29615783691406,1359500,0.0,STLD
2024-07-12,128.7481689453125,1085000,0.0,STLD
2024-07-15,131.4283447265625,2048900,0.0,STLD
2024-07-16,132.22543334960938,1055900,0.0,STLD
2024-07-17,129.59507751464844,1496300,0.0,STLD
2024-07-18,128.65850830078125,2301900,0.0,STLD
2024-07-19,127.97101593017578,1226000,0.0,STLD
2024-07-22,127.30345916748048,1141600,0.0,STLD
2024-07-23,126.15766143798828,1361700,0.0,STLD
2024-07-24,122.8398208618164,1068000,0.0,STLD
2024-07-25,127.1340789794922,1594200,0.0,STLD
2024-07-26,130.06333923339844,1064700,0.0,STLD
2024-07-29,130.04342651367188,1077000,0.0,STLD
2024-07-30,128.37953186035156,866500,0.0,STLD
2024-07-31,132.7335662841797,1394800,0.0,STLD
2024-08-01,125.8886489868164,1473900,0.0,STLD
2024-08-02,120.837158203125,1342100,0.0,STLD
2024-08-05,120.96669006347656,1469800,0.0,STLD
2024-08-06,121.93314361572266,943300,0.0,STLD
2024-08-07,118.68505096435548,1168800,0.0,STLD
2024-08-08,119.77106475830078,704900,0.0,STLD
2024-08-09,118.9939193725586,803600,0.0,STLD
2024-08-12,115.54654693603516,1323700,0.0,STLD
2024-08-13,116.841796875,1220300,0.0,STLD
2024-08-14,114.62991333007812,1401700,0.0,STLD
2024-08-15,117.61895751953124,1603500,0.0,STLD
2024-08-16,116.2738800048828,1115500,0.0,STLD
2024-08-19,115.63621520996094,939800,0.0,STLD
2024-08-20,115.52661895751952,752700,0.0,STLD
2024-08-21,118.61530303955078,1184600,0.0,STLD
2024-08-22,118.50570678710938,873700,0.0,STLD
2024-08-23,120.4386215209961,703100,0.0,STLD
2024-08-26,122.28186798095705,1015500,0.0,STLD
2024-08-27,120.96669006347656,743700,0.0,STLD
2024-08-28,117.59902954101562,1203600,0.0,STLD
2024-08-29,118.36621856689452,1017500,0.0,STLD
2024-08-30,119.07362365722656,1174200,0.0,STLD
2024-09-03,113.54388427734376,1714700,0.0,STLD
2024-09-04,112.70695495605467,1142400,0.0,STLD
2024-09-05,110.9135284423828,1429300,0.0,STLD
2024-09-06,110.59469604492188,1482000,0.0,STLD
2024-09-09,110.3356475830078,1877300,0.0,STLD
2024-09-10,108.34294891357422,1796400,0.0,STLD
2024-09-11,107.70528411865234,1798100,0.0,STLD
2024-09-12,110.1363754272461,1330600,0.0,STLD
2024-09-13,112.42797088623048,1031500,0.0,STLD
2024-09-16,110.60466003417967,1449100,0.0,STLD
2024-09-17,114.07195281982422,2082900,0.0,STLD
2024-09-18,114.69965362548828,1476500,0.0,STLD
2024-09-19,119.65150451660156,1674100,0.0,STLD
2024-09-20,119.3924560546875,6833800,0.0,STLD
2024-09-23,120.51832580566406,1395800,0.0,STLD
2024-09-24,124.21478271484376,1646200,0.0,STLD
2024-09-25,122.88963317871094,1023000,0.0,STLD
2024-09-26,124.78269958496094,1253100,0.0,STLD
2024-09-27,125.52000427246094,957400,0.0,STLD
2024-09-30,126.08000183105467,882200,0.0,STLD
2024-10-01,129.22999572753906,1120400,0.0,STLD
2024-10-02,127.5999984741211,1160000,0.0,STLD
2024-10-03,127.54000091552734,897800,0.0,STLD
2024-10-04,128.22000122070312,800400,0.0,STLD
2024-10-07,130.07000732421875,906600,0.0,STLD
2024-10-08,127.02999877929688,1053100,0.0,STLD
2024-10-09,130.17999267578125,1345300,0.0,STLD
2024-10-10,128.4600067138672,949800,0.0,STLD
2024-10-11,129.86000061035156,720900,0.0,STLD
2024-10-14,130.17999267578125,644900,0.0,STLD
2024-10-15,128.4600067138672,1294400,0.0,STLD
2024-10-16,129.86000061035156,1090100,0.0,STLD
2024-10-17,135.0500030517578,2783900,0.0,STLD
2024-10-18,136.57000732421875,1521200,0.0,STLD
2024-10-21,133.4499969482422,1241800,0.0,STLD
2024-10-22,131.8000030517578,1316500,0.0,STLD
2024-10-23,128.63999938964844,1049900,0.0,STLD
2024-10-24,130.33999633789062,1148800,0.0,STLD
2024-10-25,129.5800018310547,916200,0.0,STLD
2024-10-28,135.72000122070312,1132500,0.0,STLD
2024-10-29,135.16000366210938,873000,0.0,STLD
2024-10-30,132.77000427246094,1135700,0.0,STLD
2024-10-31,130.5,1007000,0.0,STLD
2024-11-01,133.64999389648438,1033300,0.0,STLD
2024-11-04,133.5800018310547,1071100,0.0,STLD
2024-11-05,135.64999389648438,926500,0.0,STLD
2024-11-06,154.32000732421875,4338000,0.0,STLD
2024-11-07,147.9499969482422,1779000,0.0,STLD
2024-11-08,148.5500030517578,1073800,0.0,STLD
2024-11-11,147.8000030517578,772800,0.0,STLD
2024-11-12,144.35000610351562,863300,0.0,STLD
2024-11-13,141.89999389648438,1159400,0.0,STLD
2024-11-14,137.80999755859375,1634300,0.0,STLD
2024-11-15,139.41000366210938,1297800,0.0,STLD
2024-11-18,140.69000244140625,1104800,0.0,STLD
2024-11-19,140.24000549316406,1574200,0.0,STLD
2024-11-20,144.0399932861328,2190300,0.0,STLD
2024-11-21,144.9600067138672,1672600,0.0,STLD
2024-11-22,143.57000732421875,1714000,0.0,STLD
2024-11-25,144.97999572753906,1928300,0.0,STLD
2024-11-26,143.6300048828125,969000,0.0,STLD
2024-11-27,143.8300018310547,1054200,0.0,STLD
2024-11-29,145.27000427246094,552200,0.0,STLD
2024-12-02,144.80999755859375,1040300,0.0,STLD
2024-12-03,143.1999969482422,1632900,0.0,STLD
2024-12-04,141.3800048828125,1099800,0.0,STLD
2024-12-05,138.6999969482422,1445200,0.0,STLD
2024-12-06,136.89999389648438,1273900,0.0,STLD
2024-12-09,138.25,1300800,0.0,STLD
2024-12-10,135.2899932861328,1547400,0.0,STLD
2024-12-11,133.5500030517578,1488900,0.0,STLD
2024-12-12,126.91000366210938,1776000,0.0,STLD
2024-12-13,122.37000274658205,1651100,0.0,STLD
2024-12-16,121.70999908447266,2320200,0.0,STLD
2024-12-17,118.58000183105467,1562500,0.0,STLD
2024-12-18,116.76000213623048,1944800,0.0,STLD
2024-12-19,115.29000091552734,1722210,0.0,STLD
2024-12-20,115.69000244140624,4410500,0.0,STLD
2024-12-23,115.75,1174216,0.0,STLD
2024-12-24,117.05999755859376,512700,0.0,STLD
2024-12-26,117.08999633789062,756900,0.0,STLD
2024-12-27,115.7699966430664,755973,0.0,STLD
2025-01-02,111.93000030517578,1193683,0.0,STLD
2025-01-03,113.1500015258789,1967948,0.0,STLD
